GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ExImmo,default,App,7,0,0,0,3,0,2,0,2,0
ExImmo,Pret,Pret,12,93,0,0,4,24,4,11,4,11
ExImmo,Pret,Projet,23,100,1,5,5,28,5,13,4,11
